gene,bnumber,uniprot_accession,tf_entities,tf_regulondb_ids,num_tf_entities,regulondb_version
xylR,b3569,P0ACI3,XylR,RDBECOLITFC00127,1,14.5
plaR,b3574,P37671,PlaR,RDBECOLITFC00137,1,14.5
yiaU,b3585,P37682,YiaU,RDBECOLITFC00020,1,14.5
lldR,b3604,P0ACL7,LldR,RDBECOLITFC00099,1,14.5
uhpA,b3669,P0AGA6,UhpA,RDBECOLITFC00159,1,14.5
dnaA,b3702,P03004,DnaA,RDBECOLITFC00152,1,14.5
yidZ,b3711,P31463,YidZ,RDBECOLITFC00204,1,14.5
asnC,b3743,P0ACI6,AsnC,RDBECOLITFC00100,1,14.5
rbsR,b3753,P0ACQ0,RbsR,RDBECOLITFC00088,1,14.5
yieP,b3755,P31475,YieP,RDBECOLITFC00057,1,14.5
ilvY,b3773,P05827,IlvY,RDBECOLITFC00010,1,14.5
metR,b3828,P0A9F9,MetR,RDBECOLITFC00163,1,14.5
glnG,b3868,P0AFB8,NtrC,RDBECOLITFC00022,1,14.5
csqR,b3884,P32144,CsqR,RDBECOLITFC00237,1,14.5
rhaS,b3905,P09377,RhaS,RDBECOLITFC00034,1,14.5
rhaR,b3906,P09378,RhaR,RDBECOLITFC00122,1,14.5
cpxR,b3912,P0AE88,CpxR,RDBECOLITFC00043,1,14.5
cytR,b3934,P0ACN7,CytR,RDBECOLITFC00012,1,14.5
metJ,b3938,P0A8U6,MetJ,RDBECOLITFC00045,1,14.5
oxyR,b3961,P0ACQ4,OxyR,RDBECOLITFC00188,1,14.5
fabR,b3963,P0ACU5,FabR,RDBECOLITFC00007,1,14.5
birA,b3973,P06709,BirA,RDBECOLITFC00091,1,14.5
hupA,b4000,P0ACF0,HU,RDBECOLITFC00121,1,14.5
zraR,b4004,P14375,ZraR,RDBECOLITFC00047,1,14.5
iclR,b4018,P16528,IclR,RDBECOLITFC00075,1,14.5
lexA,b4043,P0A7C2,LexA,RDBECOLITFC00054,1,14.5
zur,b4046,P0AC51,Zur,RDBECOLITFC00198,1,14.5
soxS,b4062,P0A9E2,SoxS,RDBECOLITFC00095,1,14.5
soxR,b4063,P0ACS2,SoxR,RDBECOLITFC00132,1,14.5
alsR,b4089,P0ACS7,AlsR,RDBECOLITFC00051,1,14.5
basR,b4113,P30843,BasR,RDBECOLITFC00138,1,14.5
adiY,b4116,P33234,AdiY,RDBECOLITFC00048,1,14.5
melR,b4118,P0ACH8,MelR,RDBECOLITFC00195,1,14.5
dcuR,b4124,P0AD01,DcuR,RDBECOLITFC00124,1,14.5
cadC,b4133,P23890,CadC,RDBECOLITFC00063,1,14.5
dicD,b4135,P0ACU7,DicD,RDBECOLITFC00098,1,14.5
nsrR,b4178,P0AF63,NsrR,RDBECOLITFC00005,1,14.5
aidB,b4187,P33224,AidB,RDBECOLITFC00227,1,14.5
ulaR,b4191,P0A9W0,UlaR,RDBECOLITFC00193,1,14.5
treR,b4241,P36673,TreR,RDBECOLITFC00231,1,14.5
pepA,b4260,P68767,PepA,RDBECOLITFC00131,1,14.5
idnR,b4264,P39343,IdnR,RDBECOLITFC00033,1,14.5
uxuR,b4324,P39161,UxuR,RDBECOLITFC00208,1,14.5
hypT,b4327,P39376,HypT,RDBECOLITFC00207,1,14.5
yjjQ,b4365,P0ADD7,YjjQ,RDBECOLITFC00199,1,14.5
bglJ,b4366,P39404,RcsB-BglJ,RDBECOLITFC00153,1,14.5
nadR,b4390,P27278,NadR,RDBECOLITFC00206,1,14.5
trpR,b4393,P0A881,TrpR,RDBECOLITFC00116,1,14.5
rob,b4396,P0ACI0,Rob,RDBECOLITFC00126,1,14.5
creB,b4398,P08368,CreB,RDBECOLITFC00210,1,14.5
arcA,b4401,P0A9Q1,ArcA,RDBECOLITFC00133,1,14.5
dgoR,b4479,P31460,DgoR,RDBECOLITFC00123,1,14.5
hdfR,b4480,P0A8R9,HdfR,RDBECOLITFC00077,1,14.5
gatR,b4498,P36930,GatR,RDBECOLITFC00196,1,14.5
yoeB,b4539,P69348,YefMB,RDBECOLITFC00168,1,14.5
